timestamp,out,model,variant,rep,session_id,cartridge_written,booted_clean,demo_gif_written,last_progress_at,last_progress_type,last_heartbeat_at,last_action_at,last_action_type,idle_timeout_seconds,tokens_input,tokens_output,tokens_reasoning,cache_read,cache_write,tokens_total,cost,wall_seconds,session_seconds,assistant_messages,tool_calls_total,tool_calls_by_name,reasoning_chars,reasoning_per_tool_call,tool_calls_completed,cart_edits,time_to_first_tool_s,time_to_first_edit_s,max_no_tool_gap_s,error
20260730-004627,deepseekv4pro,voban/deepseek-v4-pro,max,1,ses_04ff12bf1ffeYJxLaRH27xa7zJ,True,True,True,2026-07-30T02:20:57+02:00,session.status,2026-07-30T02:20:51+02:00,2026-07-30T02:20:49+02:00,todowrite,600,113005,59341,219351,77323776,0,391697,0,5339.959999999999,5668.13,330,329,"{""read"": 13, ""todowrite"": 7, ""write"": 5, ""pico8_pico8_boot_check"": 15, ""bash"": 25, ""edit"": 53, ""task"": 1, ""webfetch"": 1, ""pico8_pico8_boot"": 4, ""pico8_pico8_step"": 26, ""pico8_pico8_read"": 72, ""pico8_pico8_play"": 59, ""pico8_pico8_reset"": 48}",776823,2258,344,63,3.1,119.45,243.02,
20260731-113906,deepseekv4flash,voban/deepseek-v4-flash,max,1,ses_048b450a3ffeng0n0JF0gaiPti,True,True,True,2026-07-31T12:20:11+02:00,session.status,2026-07-31T12:20:02+02:00,2026-07-31T12:20:11+02:00,bash,600,119755,32418,275970,34019968,0,428143,0,2776.7300000000005,6593.32,127,132,"{""read"": 13, ""write"": 2, ""bash"": 63, ""edit"": 17, ""pico8_pico8_boot_check"": 1, ""pico8_pico8_boot"": 2, ""pico8_pico8_read"": 18, ""pico8_pico8_play"": 11, ""pico8_pico8_step"": 2, ""pico8_pico8_reset"": 3}",859516,6511,132,17,3.53,771.01,3304.75,
20260730-210211,gpt56-sol,openai/gpt-5.6-sol,xhigh,1,ses_04b9822c3ffeC2UYE3eSaVvy7k,True,True,True,2026-07-30T21:32:53+02:00,session.status,2026-07-30T21:32:45+02:00,2026-07-30T21:32:45+02:00,todowrite,600,220898,14071,22048,8560128,0,257017,0,1841.62,1839.61,114,126,"{""todowrite"": 5, ""apply_patch"": 14, ""pico8_pico8_boot_check"": 5, ""read"": 8, ""webfetch"": 2, ""bash"": 9, ""grep"": 4, ""pico8_pico8_boot"": 5, ""pico8_pico8_step"": 25, ""pico8_pico8_read"": 28, ""pico8_pico8_reset"": 11, ""pico8_pico8_play"": 4, ""task"": 2, ""pico8_pico8_sessions"": 1, ""pico8_pico8_shutdown"": 3}",12793,91,141,14,18.92,27.13,375.93,
20260730-210211,gpt56-terra,openai/gpt-5.6-terra,xhigh,1,ses_04b7bc814ffeK26oSpDIMSN5bl,True,True,True,2026-07-30T21:51:41+02:00,session.status,2026-07-30T21:51:32+02:00,2026-07-30T21:51:36+02:00,todowrite,600,198969,20715,22858,6105088,0,242542,0,1112.23,1110.12,91,103,"{""todowrite"": 3, ""read"": 9, ""apply_patch"": 17, ""bash"": 14, ""pico8_pico8_boot"": 1, ""pico8_pico8_play"": 20, ""pico8_pico8_read"": 22, ""pico8_pico8_reset"": 14, ""pico8_pico8_step"": 2, ""webfetch"": 1}",6811,66,103,17,5.18,198.21,162.68,
20260712-093029,fable5,opencode/claude-fable-5,high,1,ses_0aac3dc8dffe4br5bzOyjZPKcw,True,True,True,,,,,,,146,100000,0,8987164,175996,100146,16.188574,1924.44,1923.6,73,76,"{""read"": 7, ""todowrite"": 5, ""websearch"": 1, ""bash"": 8, ""write"": 1, ""pico8_pico8_boot"": 2, ""pico8_pico8_step"": 11, ""pico8_pico8_read"": 20, ""edit"": 4, ""pico8_pico8_reset"": 4, ""pico8_pico8_play"": 11, ""pico8_pico8_screen"": 1, ""pico8_pico8_shutdown"": 1}",,,,,,,,
20260803-201011,qwen38,voban/qwen3.8-max,,1,ses_037d38430ffe7Zebe0SXZHjqlo,True,True,True,2026-08-03T22:00:42+02:00,session.status,2026-08-03T19:58:20+02:00,2026-08-03T22:00:03+02:00,grep,600,45069377,37680,489706,2834048,0,45596763,0,17456.6,17456.6,107,116,"{""read"": 17, ""todowrite"": 3, ""bash"": 33, ""grep"": 5, ""write"": 3, ""edit"": 34, ""pico8_pico8_boot"": 3, ""pico8_pico8_play"": 8, ""pico8_pico8_read"": 7, ""pico8_pico8_reset"": 1, ""pico8_pico8_screen"": 1, ""pico8_pico8_shutdown"": 1}",1393938,12017,116,36,11.31,1963.95,2594.14,
20260803-220549,kimik3,opencode/kimi-k3,max,1,ses_036c47588ffeMAcWDkvO6PiXm2,True,True,True,2026-08-03T23:04:02+02:00,session.status,2026-08-03T22:41:55+02:00,2026-08-03T23:03:49+02:00,read,600,299761,160787,0,15646827,0,460548,8.005136100000001,3492.23,3492.23,94,108,"{""read"": 15, ""todowrite"": 2, ""write"": 9, ""bash"": 29, ""edit"": 22, ""pico8_pico8_boot"": 4, ""pico8_pico8_step"": 8, ""pico8_pico8_read"": 9, ""pico8_pico8_reset"": 2, ""pico8_pico8_screen"": 1, ""pico8_pico8_peek"": 3, ""pico8_pico8_play"": 3, ""pico8_pico8_shutdown"": 1}",412303,3818,108,23,4.76,919.01,896.94,
20260730-004627,opus5,opencode/claude-opus-5,max,1,ses_0509beb2fffed6cplAwLP0IF68,True,True,True,2026-07-30T03:15:53+02:00,session.status,2026-07-30T03:15:48+02:00,2026-07-30T03:15:31+02:00,bash,600,172,193566,0,15494577,757999,193738,17.324792249999994,2923.74,20154.2,87,83,"{""read"": 16, ""todowrite"": 1, ""write"": 2, ""bash"": 25, ""pico8_pico8_boot_check"": 1, ""pico8_pico8_boot"": 3, ""pico8_pico8_play"": 6, ""edit"": 9, ""pico8_pico8_step"": 5, ""pico8_pico8_read"": 8, ""pico8_pico8_screen"": 1, ""pico8_pico8_reset"": 5, ""pico8_pico8_shutdown"": 1}",156500,1886,83,11,4.81,33.75,636.05,
20260722-195308,opus48,opencode/claude-opus-4-8,max,1,ses_07e71f9f4ffeSm6pTOinFCMmFk,True,True,True,,,,,,,344,448858,0,59743514,1907016,449202,53.01377700000002,1633.25,159428.5,174,174,"{""read"": 6, ""todowrite"": 1, ""websearch"": 1, ""write"": 1, ""bash"": 23, ""pico8_pico8_boot"": 4, ""pico8_pico8_step"": 34, ""pico8_pico8_read"": 46, ""pico8_pico8_reset"": 15, ""edit"": 18, ""pico8_pico8_play"": 23, ""pico8_pico8_shutdown"": 2}",,,,,,,,
20260711-150258,gpt55,openai/gpt-5.5,xhigh,1,ses_0aeb1b430ffeD4ele3qXFTMl0h,True,True,True,,,,,,,214254,13381,31916,7028224,0,259551,0,1201.0,1196.42,106,109,"{""todowrite"": 5, ""webfetch"": 1, ""read"": 4, ""apply_patch"": 13, ""bash"": 1, ""pico8_pico8_boot"": 1, ""pico8_pico8_play"": 30, ""pico8_pico8_read"": 29, ""pico8_pico8_reset"": 25}",,,,,,,,timeout after 1200s
20260711-150258,grok45,opencode/grok-4.5,high,1,ses_0ae9d8f2bffeWcwNaa8nt5pjvL,True,True,True,,,,,,,160212,63732,25305,27525760,0,249249,14.617526000000005,1173.8,1172.41,286,290,"{""read"": 5, ""websearch"": 1, ""webfetch"": 1, ""bash"": 7, ""write"": 13, ""pico8_pico8_boot"": 25, ""pico8_pico8_read"": 91, ""pico8_pico8_play"": 105, ""pico8_pico8_reset"": 23, ""edit"": 18, ""pico8_pico8_boot_check"": 1}",,,,,,,,
